21:49:20.960 esp_3_10s_5m -> 22.6 C | pin34= 1826 | Bat = 3.39 V
21:49:31.460 esp_3_10s_5m -> 22.6 C | pin34= 1825 | Bat = 3.39 V
21:49:41.460 esp_3_10s_5m -> 22.6 C | pin34= 1831 | Bat = 3.39 V
21:49:51.960 esp_3_10s_5m -> 22.6 C | pin34= 1829 | Bat = 3.33 V
21:50:01.960 esp_3_10s_5m -> 22.6 C | pin34= 1825 | Bat = 3.36 V
21:50:12.460 esp_3_10s_5m -> 22.6 C | pin34= 1821 | Bat = 3.30 V
21:50:22.460 esp_3_10s_5m -> 22.6 C | pin34= 1819 | Bat = 3.34 V
21:50:32.963 esp_3_10s_5m -> 22.6 C | pin34= 1707 | Bat = 3.14 V
21:50:43.461 esp_3_10s_5m -> 22.6 C | pin34= 1814 | Bat = 3.32 V
21:50:53.497 esp_3_10s_5m -> 22.6 C | pin34= 1680 | Bat = 3.01 V
21:51:03.465 esp_3_10s_5m -> 22.6 C | pin34= 1817 | Bat = 3.29 V
21:51:13.461 esp_3_10s_5m -> 22.6 C | pin34= 1818 | Bat = 3.30 V
21:51:23.960 esp_3_10s_5m -> 22.5 C | pin34= 1813 | Bat = 3.30 V
21:51:33.960 esp_3_10s_5m -> 22.6 C | pin34= 1811 | Bat = 3.31 V
21:51:44.460 esp_3_10s_5m -> 22.5 C | pin34= 1815 | Bat = 3.24 V
21:51:54.461 esp_3_10s_5m -> 22.6 C | pin34= 1808 | Bat = 3.04 V
21:52:04.961 esp_3_10s_5m -> 22.5 C | pin34= 1814 | Bat = 3.01 V
21:52:14.959 esp_3_10s_5m -> 22.6 C | pin34= 1814 | Bat = 3.28 V
21:52:24.960 esp_3_10s_5m -> 22.5 C | pin34= 1809 | Bat = 3.27 V
21:52:35.459 esp_3_10s_5m -> 22.5 C | pin34= 1806 | Bat = 3.28 V
21:52:45.460 esp_3_10s_5m -> 22.5 C | pin34= 1811 | Bat = 3.28 V
21:52:55.960 esp_3_10s_5m -> 22.5 C | pin34= 1807 | Bat = 3.27 V
21:53:05.963 esp_3_10s_5m -> 22.5 C | pin34= 1807 | Bat = 3.25 V
21:53:16.459 esp_3_10s_5m -> 22.5 C | pin34= 1685 | Bat = 2.95 V
21:53:26.961 esp_3_10s_5m -> 22.5 C | pin34= 1803 | Bat = 3.26 V
21:53:36.960 esp_3_10s_5m -> 22.5 C | pin34= 1813 | Bat = 3.21 V
21:53:47.460 esp_3_10s_5m -> 22.5 C | pin34= 1815 | Bat = 3.30 V
21:53:57.460 esp_3_10s_5m -> 22.5 C | pin34= 1813 | Bat = 3.24 V
21:54:07.459 esp_3_10s_5m -> 22.5 C | pin34= 1815 | Bat = 3.29 V
21:54:17.460 esp_3_10s_5m -> 22.5 C | pin34= 1808 | Bat = 3.30 V
21:54:27.959 esp_3_10s_5m -> 22.5 C | pin34= 1812 | Bat = 3.29 V
21:54:37.960 esp_3_10s_5m -> 22.5 C | pin34= 1686 | Bat = 3.17 V
21:54:48.459 esp_3_10s_5m -> 22.5 C | pin34= 1814 | Bat = 3.29 V
21:54:58.460 esp_3_10s_5m -> 22.5 C | pin34= 1811 | Bat = 3.28 V
21:55:08.960 esp_3_10s_5m -> 22.5 C | pin34= 1815 | Bat = 3.24 V
21:55:18.960 esp_3_10s_5m -> 22.5 C | pin34= 1818 | Bat = 3.30 V
